,NP_Synthesis,NP size_avg (nm),shape,method,Bacteria,NP_concentration (μg/ml),ZOI,reference,time (hr),Phylum,Class,Order,Family,Genus,Superkingdom,Species,bac_type,gram,"min_Incub_period, h","growth_temp, C",biosafety_level,isolated_from,Strain,Coating,Solvent for extract,Precursor of NP,"Temperature for extract, C","Duration preparing extract, min",Concentration of precursor (mM),DONE?,,COUNT of DONE,
0,green synthesis using fig,20.0,spherical,ZOI,Staphylococcus aureus,30.0,24.67,https://www.sciencedirect.com/science/article/pii/S1018364723004214?via%3Dihub,18.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,24.0,37.0,2.0,skin,ATCC 29213,0,triple deionized water,AgNO3,100,15,5,done,,"100,00%",- is 'done'; rows:
1,green synthesis using fig,20.0,spherical,ZOI,Streptococcus pyogenes,30.0,8.0,https://www.sciencedirect.com/science/article/pii/S1018364723004214?via%3Dihub,18.0,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Bacteria,Streptococcus pyogenes,pathogenic,p,24.0,37.0,2.0,mouth,ATCC 12384,0,triple deionized water,AgNO3,100,15,5,done,,"100,00%",- is processed; rows:
2,green synthesis using fig,20.0,spherical,ZOI,Escherichia coli,30.0,14.67,https://www.sciencedirect.com/science/article/pii/S1018364723004214?via%3Dihub,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,ATCC 25922,0,triple deionized water,AgNO3,100,15,5,done,,COUNT of NOT AgNPs DATA,
3,green synthesis using myrrh,18.0,spherical,ZOI,Staphylococcus aureus,30.0,23.0,https://www.sciencedirect.com/science/article/pii/S1018364723004214?via%3Dihub,18.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,24.0,37.0,2.0,skin,ATCC 29213,0,triple deionized water,AgNO3,100,15,5,done,,"0,00%",rows:
4,green synthesis using myrrh,18.0,spherical,ZOI,Pseudomonas aeruginosa,30.0,8.0,https://www.sciencedirect.com/science/article/pii/S1018364723004214?via%3Dihub,18.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,24.0,37.0,2.0,soil,ATCC 27853,0,triple deionized water,AgNO3,100,15,5,done,,,
5,green synthesis using myrrh,18.0,spherical,ZOI,Escherichia coli,30.0,14.67,https://www.sciencedirect.com/science/article/pii/S1018364723004214?via%3Dihub,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37.0,2.0,urine,ATCC 25922,0,triple deionized water,AgNO3,100,15,5,done,,,
6,green synthesis using origanum ehrenbergii,13.5,pseudo-spherical,ZOI,Enterococcus faecium,62.5,7.0,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Bacteria,Enterococcus faecium,opportunistic pathogen,p,24.0,37.0,2.0,blood,,0,water (distilled),AgNO3,60,30,1,done,,,
7,green synthesis using origanum ehrenbergii,13.5,pseudo-spherical,ZOI,Staphylococcus aureus,62.5,9.0,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,24.0,37.0,2.0,skin,,0,water (distilled),AgNO3,60,30,1,done,,,
8,green synthesis using origanum ehrenbergii,13.5,pseudo-spherical,ZOI,Staphylococcus haemolyticus,62.5,8.0,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus haemolyticus,non-pathogenic,p,24.0,35.0,2.0,skin,,0,water (distilled),AgNO3,60,30,1,done,,,
9,green synthesis using origanum ehrenbergii,13.5,pseudo-spherical,ZOI,Citrobacter braakii,62.5,8.3,https://www.sciencedirect.com/science/article/pii/S2590048X24000244?via%3Dihub,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Bacteria,Citrobacter braakii,opportunistic pathogen,n,24.0,37.0,2.0,urine,,0,water (distilled),AgNO3,60,30,1,done,,,
